file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,190,css,199ab14e,bdognieto,2026-05-07,20:42:56,-07:00,2026-05-07T20:42:56-07:00,0,0
style.css,191,css,199ab14e,bdognieto,2026-05-07,20:42:56,-07:00,2026-05-07T20:42:56-07:00,0,0
style.css,192,css,199ab14e,bdognieto,2026-05-07,20:42:56,-07:00,2026-05-07T20:42:56-07:00,0,16
style.css,193,css,199ab14e,bdognieto,2026-05-07,20:42:56,-07:00,2026-05-07T20:42:56-07:00,1,20
style.css,194,css,199ab14e,bdognieto,2026-05-07,20:42:56,-07:00,2026-05-07T20:42:56-07:00,1,44
style.css,195,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,196,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,197,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,51
style.css,198,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,1,11
style.css,199,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,200,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,201,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,4
style.css,202,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,1,16
style.css,203,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,1,14
style.css,204,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,205,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,206,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,9
style.css,207,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,1,35
style.css,208,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,209,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,0
style.css,210,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,0,18
style.css,211,css,e01062ca,bdognieto,2026-05-07,21:05:27,-07:00,2026-05-07T21:05:27-07:00,1,17
style.css,212,css,b8c111dd,bdognieto,2026-04-03,21:23:07,-07:00,2026-04-03T21:23:07-07:00,0,0
index.js,1,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,71
index.js,2,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,0
index.js,3,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,54
index.js,4,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,42
index.js,5,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,0
index.js,6,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,60
index.js,7,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,54
index.js,8,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,0
index.js,9,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,52
index.js,10,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,0
index.js,11,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,60
index.js,12,js,efb5b989,bdognieto,2026-04-25,18:56:23,-07:00,2026-04-25T18:56:23-07:00,0,0
index.js,13,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,0,17
index.js,14,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,1,24
index.js,15,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,2,2
index.js,16,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,3,55
index.js,17,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,3,55
index.js,18,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,3,49
index.js,19,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,3,49
index.js,20,js,af72928b,bdognieto,2026-04-25,20:44:18,-07:00,2026-04-25T20:44:18-07:00,2,3
